"lag","r","n","p"
-6,0.0875546797534808,70,0.471075022475021
-3,0.0974325103338395,69,0.425772196244378
0,0.125322995124621,66,0.316036712360306
1,0.385632685813509,65,0.00151174734258162
3,-0.215083640813643,63,0.090481500505392
6,0.197900820220834,60,0.129589856377393
9,-0.170076479561957,57,0.205928637246936
12,0.172253211239008,54,0.212942969834983
15,0.0251738042336485,51,0.860806393761315
18,0.0233337251816838,48,0.874913220379612
