"lag","r","n","p"
-6,0.148593813109264,73,0.209605118600771
-3,0.306866325531106,72,0.00874512008311019
0,0.389842479177965,70,0.000850041033407408
1,0.429327450875385,69,0.000232225306801902
3,0.482610321586931,67,3.53519713076765e-05
6,0.569893671883801,64,8.86923220230081e-07
9,0.621224320511357,61,9.19130815570232e-08
12,0.710453210491297,58,4.19315421951658e-10
15,0.711948599150636,55,1.09997674590491e-09
18,0.631490662352137,52,5.1751984422346e-07
