"lag","r","n","p"
-6,0.0158463489898414,70,0.896407394040818
-3,0.186248191534975,69,0.12545550029138
0,0.0773451380952447,66,0.537053428064808
1,0.256570475015047,65,0.0391055676708052
3,-0.214021182033625,63,0.0921235145512705
6,0.137465505462284,60,0.294921440714345
9,-0.132822839201227,57,0.324650198545846
12,0.179448297199329,54,0.194155544102249
15,0.0853041609732369,51,0.551724871541534
18,-0.0217474202651383,48,0.883356048094108
