"lag","r","n","p"
-6,0.162952826116016,73,0.168368298123435
-3,0.286771722914363,72,0.0145946133772583
0,0.399502795951751,70,0.000612203768466138
1,0.444757297453873,69,0.000128776411738637
3,0.482090656603517,67,3.61454554452365e-05
6,0.52777982925527,64,7.40946773622058e-06
9,0.572412814978926,61,1.43657365599828e-06
12,0.678757000700354,58,4.75138265805991e-09
15,0.64156689582165,55,1.30623811656509e-07
18,0.594978676258161,52,3.29208101707054e-06
