wb_market,fews_market,cm_name,span_start,span_end,expected_months,fews_obs,wb_obs,fews_missing,wb_missing,fews_pct_missing,wb_pct_missing
Port-au-Prince,"Port-au-Prince, Croix-de-Bossales",rice_fao,2005-01-01,2026-02-01,254,248,205,6,49,2.3622047244094486,19.291338582677163
Port-de-Paix,Port-de-Paix,rice_fao,2005-01-01,2026-02-01,254,213,0,41,254,16.141732283464567,100.0
Cap-Haitien,Cap Haitien,sorghum_fao,2005-01-01,2026-02-01,254,246,226,8,28,3.149606299212598,11.023622047244094
Cayes,Cayes,sorghum_fao,2005-01-01,2026-02-01,254,246,108,8,146,3.149606299212598,57.48031496062992
Gonaives,Gonaives,sorghum_fao,2005-01-01,2026-02-01,254,223,108,31,146,12.204724409448819,57.48031496062992
Hinche,Hinche,sorghum_fao,2005-01-01,2026-02-01,254,231,219,23,35,9.05511811023622,13.779527559055119
Jacmel,Jacmel,sorghum_fao,2005-01-01,2026-02-01,254,246,226,8,28,3.149606299212598,11.023622047244094
Jeremie,Jeremie,sorghum_fao,2005-01-01,2026-02-01,254,246,226,8,28,3.149606299212598,11.023622047244094
Ouanaminthe,Ouanaminthe,sorghum_fao,2005-01-01,2026-02-01,254,148,126,106,128,41.732283464566926,50.39370078740157
Port-au-Prince,"Port-au-Prince, Croix-de-Bossales",sorghum_fao,2005-01-01,2026-02-01,254,248,226,6,28,2.3622047244094486,11.023622047244094
Port-de-Paix,Port-de-Paix,sorghum_fao,2005-01-01,2026-02-01,254,219,108,35,146,13.779527559055119,57.48031496062992
Cap-Haitien,Cap Haitien,sugar,2005-01-01,2026-02-01,254,248,103,6,151,2.3622047244094486,59.4488188976378
Cayes,Cayes,sugar,2005-01-01,2021-04-01,196,166,37,30,159,15.306122448979592,81.12244897959184
Gonaives,Gonaives,sugar,2005-01-01,2026-02-01,254,222,102,32,152,12.598425196850393,59.84251968503938
Hinche,Hinche,sugar,2005-01-01,2026-02-01,254,248,103,6,151,2.3622047244094486,59.4488188976378
Jacmel,Jacmel,sugar,2005-01-01,2026-02-01,254,248,103,6,151,2.3622047244094486,59.4488188976378
Jeremie,Jeremie,sugar,2005-01-01,2026-02-01,254,243,99,11,155,4.330708661417323,61.023622047244096
Ouanaminthe,Ouanaminthe,sugar,2005-01-01,2026-02-01,254,246,103,8,151,3.149606299212598,59.4488188976378
Port-au-Prince,"Port-au-Prince, Croix-de-Bossales",sugar,2005-01-01,2025-07-01,247,215,79,32,168,12.955465587044534,68.0161943319838
