wb_market,cm_name,n_months,fews_mean,wb_mean,ratio_wb_over_fews,r_levels,r_logreturns
Cap-Haitien,beans_fao,224,435.01357886904765,435.54575892857144,1.0012233642474044,0.9995591388689475,0.9652849665805274
Cayes,beans_fao,147,478.8163832199546,478.29761904761904,0.9989165697112388,0.9971870292344005,0.8771101924862906
Gonaives,beans_fao,147,516.4772108843537,517.4002721088435,1.0017872254671398,0.9975644674362963,0.8122005866486895
Hinche,beans_fao,224,412.35907738095244,413.2667857142856,1.002201257067259,0.9996756972744071,0.9649984000943337
Jacmel,beans_fao,224,443.01964285714286,443.51473214285716,1.0011175334856968,0.9999028964997552,0.9769702697693033
Jeremie,beans_fao,224,393.888206845238,394.82772321428564,1.0023852360967405,0.9988409409855851,0.9534282359951791
Ouanaminthe,beans_fao,222,497.2688438438439,497.6166666666666,1.0006994663492972,0.9999323748838737,0.9771777499305699
Port-au-Prince,beans_fao,224,396.4955357142857,397.46986607142856,1.0024573551764904,0.9996476909952478,0.9747551370867915
Port-de-Paix,beans_fao,148,527.8243243243244,529.1872972972972,1.002582247369364,0.9981440730587161,0.8671048412003461
Cap-Haitien,maize_meal,224,217.08586309523812,218.7909375,1.0078543778966107,0.9939324347077169,0.8172767268430343
Cayes,maize_meal,208,149.16466346153845,149.00346153846152,0.998919302203779,0.9875404187153833,0.8526426386484176
Gonaives,maize_meal,184,172.47334692028986,171.2783152173913,0.9930712094115571,0.9983930748245337,0.9288761644663084
Hinche,maize_meal,224,166.42165178571426,165.5599107142857,0.9948219413629055,0.9992369914482373,0.9481071811235311
Jacmel,maize_meal,223,194.84708520179373,194.480403587444,0.9981181057239322,0.9986264477732174,0.9345660457789005
Jeremie,maize_meal,220,123.69717803030304,124.39222727272728,1.0056189579543517,0.9936496913884131,0.8713308582007644
Ouanaminthe,maize_meal,201,149.14434079601992,148.4200497512438,0.9951436907299975,0.9994328865394093,0.9595312345366152
Port-au-Prince,maize_meal,224,165.41309151785714,164.93272321428572,0.9970959474902289,0.9966646152905667,0.8137526107911024
Port-de-Paix,maize_meal,178,180.21488764044943,179.4826966292135,0.9959371225051243,0.9991194127800991,0.9204800609532142
Cap-Haitien,oil,156,749.4823717948718,771.4663461538462,1.0293322100509539,0.9859535789318936,0.5207916980029504
Cayes,oil,142,813.0805281690141,817.7242957746479,1.0057113255633991,0.9937870501967869,0.6164009803185929
Gonaives,oil,131,648.2430025445293,743.8046564885497,1.14741640645393,0.98125926417195,0.6911655020480921
Hinche,oil,118,640.0397245762712,771.0053389830506,1.2046210717522,0.9481565132260991,0.4770046551436876
Jacmel,oil,110,590.5481818181819,599.6288181818181,1.015376622337027,0.9688731314183443,0.30201758886212837
Jeremie,oil,156,851.131858974359,848.0455128205127,0.9963738331243229,0.9942420534053205,0.532419168716347
Ouanaminthe,oil,135,872.5592592592593,890.6885925925925,1.0207771943749973,0.9902610164935806,0.4725356426667186
Port-au-Prince,oil,156,758.0560897435897,801.0633974358975,1.0567336748219447,0.9823312773058075,0.3410486827364628
Port-de-Paix,oil,139,709.8496402877698,718.4063309352517,1.012054229743658,0.9606802304855812,0.4326305395746202
Cap-Haitien,pasta,95,54.43976315789474,54.224736842105266,0.9960501974417887,0.9979917549214419,0.7176448045939311
Cayes,pasta,57,31.910087719298247,30.507543859649118,0.9560470070785512,0.9570848732342473,0.7169965938801276
Gonaives,pasta,36,20.618055555555557,21.166666666666668,1.0266082856180532,0.9097929935266956,0.2714720214467416
Hinche,pasta,22,28.920454545454547,26.34090909090909,0.9108055009823182,0.5193847026719112,0.2147383605255172
Jacmel,pasta,62,33.04435483870968,31.451612903225808,0.9517998779743746,0.8526909149212806,0.3649473998328785
Jeremie,pasta,91,52.598489010989006,53.3756043956044,1.0147744811538795,0.9895392510559556,0.7807412431891105
Ouanaminthe,pasta,95,55.12947368421052,54.80736842105263,0.9941572947892999,0.9980692128630663,0.6538824451367558
Port-au-Prince,pasta,95,55.90706140350878,55.75284210526316,0.9972415059140287,0.9953638826853258,0.8668789282234509
Port-de-Paix,pasta,72,38.85590277777778,38.57,0.9926419731021848,0.9976260052387987,0.8361374937010941
Cap-Haitien,rice,67,250.65348258706467,209.93537313432833,0.8375521894510567,0.8917696274986485,0.5782321911980132
Cayes,rice,108,439.9837962962963,215.6226851851852,0.4900696048360367,0.9711404113052013,0.3849612593730184
Gonaives,rice,175,425.18142857142857,236.79125714285715,0.5569181559468731,0.9554698686347529,0.06953796832680102
Hinche,rice,200,497.41354166666673,243.77135,0.4900778317839993,0.9751964504759646,0.031831397871067674
Jacmel,rice,203,525.4064039408867,255.55394088669954,0.48639289313925427,0.9450787574791222,0.2083562276738574
Jeremie,rice,168,378.67254464285713,175.00809523809525,0.46216209153254867,0.9385013217452853,0.3272351816772975
Ouanaminthe,rice,127,232.35433070866142,156.3932283464567,0.6730807550238911,0.6593627638221808,0.2218353720536523
Port-au-Prince,rice,186,452.2903225806452,233.7463440860215,0.5168059815039345,0.9702859699655969,0.33660623028245273
Port-de-Paix,rice,41,355.3292682926829,276.5951219512195,0.7784191920925283,0.9611667880711262,0.7772799197042924
Cap-Haitien,rice_fao,221,246.6105580693816,478.9998642533937,1.942333158820522,0.9535524930643444,0.35019573593983216
Hinche,rice_fao,149,208.76812080536914,460.99798657718117,2.2081819043960333,0.9876760258025061,0.4616076896059489
Jacmel,rice_fao,220,257.05045454545456,549.8738636363636,2.1391670542217565,0.9482730188357273,0.23920059101583524
